****************************************
Report : report_global_slack
Design : s5378_bench
Version: K-2015.06-SP3-2
Date   : Wed Apr 14 01:49:00 2021
****************************************

       Max_Rise      Max_Fall   Point
----------------------------------------------------------
              *             *   blif_clk_net
              *             *   blif_reset_net
              *             *   n3065gat
              *             *   n3066gat
              *             *   n3067gat
              *             *   n3068gat
              *             *   n3069gat
              *             *   n3070gat
              *             *   n3071gat
              *             *   n3072gat
              *             *   n3073gat
              *             *   n3074gat
              *             *   n3075gat
              *             *   n3076gat
              *             *   n3077gat
              *             *   n3078gat
              *             *   n3079gat
              *             *   n3080gat
              *             *   n3081gat
              *             *   n3082gat
              *             *   n3083gat
              *             *   n3084gat
              *             *   n3085gat
              *             *   n3086gat
              *             *   n3087gat
              *             *   n3088gat
              *             *   n3089gat
              *             *   n3090gat
              *             *   n3091gat
              *             *   n3092gat
              *             *   n3093gat
              *             *   n3094gat
              *             *   n3095gat
              *             *   n3097gat
              *             *   n3098gat
              *             *   n3099gat
              *             *   n3100gat
              *             *   n3112gat
              *             *   n3115gat
              *             *   n3152gat
              *             *   test_si1
              *             *   test_si2
              *             *   test_se
              *             *   n3106gat
              *             *   n3126gat
              *             *   n3127gat
              *             *   n3128gat
              *             *   n3148gat
              *             *   test_so1
              *             *   test_so2
              *             *   U535/A
              *             *   U535/ZN
              *             *   U536/A
              *             *   U536/ZN
              *             *   U539/A
              *             *   U539/ZN
              *             *   U542/A
              *             *   U542/ZN
           0.54          0.60   U567/A1
           0.59          0.51   U567/A2
           0.51          0.54   U567/ZN
              *             *   U579/A1
              *             *   U579/A2
              *             *   U579/ZN
           0.67          0.61   U591/A1
           0.67          0.58   U591/A2
           0.67          0.56   U591/A3
           0.67          0.56   U591/A4
           0.56          0.67   U591/ZN
           0.68          0.61   U592/A1
           0.67          0.58   U592/A2
           0.67          0.56   U592/A3
              *             *   U592/A4
           0.56          0.67   U592/ZN
              *             *   U627/A
              *             *   U627/ZN
           0.50          0.40   U634/B1
           0.47          0.48   U634/B2
           0.50          0.39   U634/A
           0.39          0.47   U634/ZN
              *             *   U636/A
              *             *   U636/ZN
           0.46          0.51   U639/B1
           0.48          0.41   U639/B2
           0.45          0.40   U639/A
           0.40          0.45   U639/ZN
              *             *   U649/A
              *             *   U649/ZN
              *             *   U650/A
              *             *   U650/ZN
              *             *   U657/A
              *             *   U657/ZN
              *             *   U660/A1
              *             *   U660/A2
              *             *   U660/B1
              *             *   U660/B2
              *             *   U660/ZN
              *             *   U663/A
              *             *   U663/ZN
              *             *   U664/A
              *             *   U664/ZN
              *             *   U666/A
              *             *   U666/ZN
              *             *   U671/A
              *             *   U671/ZN
              *             *   U673/A
              *             *   U673/ZN
              *             *   U677/A
              *             *   U677/ZN
              *             *   U678/A
              *             *   U678/ZN
              *             *   U680/A1
              *             *   U680/A2
              *             *   U680/B1
              *             *   U680/B2
              *             *   U680/ZN
              *             *   U682/A1
              *             *   U682/A2
              *             *   U682/B1
              *             *   U682/B2
              *             *   U682/ZN
              *             *   U685/A
              *             *   U685/ZN
              *             *   U687/A
              *             *   U687/ZN
              *             *   U689/A
              *             *   U689/ZN
              *             *   U695/A
              *             *   U695/ZN
              *             *   U697/A
              *             *   U697/ZN
              *             *   U700/A
              *             *   U700/ZN
              *             *   U703/A1
              *             *   U703/A2
              *             *   U703/B1
              *             *   U703/B2
              *             *   U703/ZN
              *             *   U712/A1
              *             *   U712/A2
              *             *   U712/B1
              *             *   U712/B2
              *             *   U712/ZN
              *             *   U714/A1
              *             *   U714/A2
              *             *   U714/B1
              *             *   U714/B2
              *             *   U714/ZN
              *             *   U716/A1
              *             *   U716/A2
              *             *   U716/B1
              *             *   U716/B2
              *             *   U716/ZN
              *             *   U718/A1
              *             *   U718/A2
              *             *   U718/B1
              *             *   U718/B2
              *             *   U718/ZN
              *             *   U720/A1
              *             *   U720/A2
              *             *   U720/B1
              *             *   U720/B2
              *             *   U720/ZN
           0.18          0.24   U724/A
           0.23          0.14   U724/B
           0.15          0.21   U724/S
           0.18          0.14   U724/Z
           0.30          0.13   U725/A
           0.27          0.19   U725/B
           0.14          0.13   U725/S
           0.18          0.13   U725/Z
              *             *   U741/A1
              *             *   U741/A2
              *             *   U741/ZN
           0.44          0.38   U766/A
           0.42          0.47   U766/B
           0.38          0.38   U766/ZN
           0.35          0.29   U774/A
           0.32          0.37   U774/B
           0.29          0.32   U774/ZN
           0.34          0.39   U775/A
           0.34          0.27   U775/B
           0.27          0.31   U775/ZN
           0.34          0.28   U777/A
           0.33          0.38   U777/B
           0.28          0.30   U777/ZN
           0.34          0.28   U778/A
           0.35          0.28   U778/B
           0.28          0.31   U778/ZN
           0.32          0.28   U790/A
           0.32          0.27   U790/B
           0.27          0.29   U790/Z
           0.32          0.38   U791/A
           0.34          0.27   U791/B
           0.27          0.31   U791/ZN
           0.35          0.28   U793/A
           0.34          0.27   U793/B
           0.27          0.30   U793/ZN
           0.36          0.29   U794/A
           0.32          0.38   U794/B
           0.29          0.33   U794/ZN
              *             *   U807/A
              *             *   U807/B
              *             *   U807/S
              *             *   U807/Z
              *             *   U808/A
              *             *   U808/B
              *             *   U808/S
              *             *   U808/Z
           0.29          0.23   U814/A
           0.27          0.32   U814/B
           0.23          0.26   U814/ZN
           0.27          0.23   U815/A
           0.27          0.22   U815/B
           0.22          0.25   U815/Z
           0.28          0.33   U817/A
           0.29          0.22   U817/B
           0.22          0.25   U817/ZN
           0.30          0.23   U818/A
           0.29          0.22   U818/B
           0.22          0.26   U818/ZN
              *             *   U853/A1
              *             *   U853/A2
              *             *   U853/A3
              *             *   U853/ZN
           0.21          0.27   U858/A
           0.24          0.16   U858/B
           0.16          0.21   U858/ZN
           0.27          0.31   U860/A
           0.24          0.29   U860/B
           0.24          0.26   U860/ZN
           0.40          0.33   U863/A
           0.39          0.32   U863/B
           0.32          0.33   U863/ZN
              *             *   U876/A
              *             *   U876/B
              *             *   U876/ZN
              *             *   U890/A1
              *             *   U890/A2
              *             *   U890/B1
              *             *   U890/B2
              *             *   U890/ZN
              *             *   U894/A1
              *             *   U894/A2
              *             *   U894/ZN
              *             *   U896/A1
              *             *   U896/A2
              *             *   U896/ZN
              *             *   U903/A
              *             *   U903/ZN
              *             *   U904/A
              *             *   U904/ZN
              *             *   U908/A
              *             *   U908/ZN
              *             *   U911/A
              *             *   U911/ZN
              *             *   U912/A1
              *             *   U912/A2
              *             *   U912/ZN
           0.52          0.59   U917/A
           0.53          0.47   U917/B
           0.48          0.47   U917/Z
           0.52          0.60   U918/A
           0.54          0.48   U918/B
           0.49          0.48   U918/Z
           0.46          0.51   U921/A
           0.43          0.49   U921/B
           0.43          0.48   U921/ZN
           0.46          0.40   U923/A
           0.43          0.49   U923/B
           0.40          0.41   U923/ZN
           0.38          0.39   U927/A1
           0.36          0.37   U927/A2
           0.37          0.36   U927/ZN
           0.39          0.39   U928/A1
           0.36          0.49   U928/A2
           0.39          0.36   U928/ZN
           0.51          0.40   U929/A
           0.43          0.35   U929/B
           0.39          0.35   U929/ZN
           0.19          0.19   U932/A1
           0.15          0.28   U932/A2
           0.19          0.15   U932/ZN
           0.60          0.59   U942/B1
           0.62          0.60   U942/B2
           0.60          0.59   U942/A
           0.59          0.60   U942/ZN
           0.64          0.64   U954/A1
           0.64          0.64   U954/A2
           0.64          0.64   U954/ZN
           0.61          0.60   U958/B1
           0.61          0.59   U958/B2
           0.62          0.61   U958/A
           0.59          0.61   U958/ZN
           0.55          0.55   U960/A1
           0.54          0.53   U960/A2
           0.55          0.53   U960/A3
           0.53          0.54   U960/ZN
           0.72          0.70   U962/A1
           0.71          0.67   U962/A2
           0.72          0.67   U962/A3
           0.67          0.71   U962/ZN
              *             *   U972/A1
           0.75          0.61   U972/A2
           0.61          0.75   U972/ZN
           0.44          0.38   U975/A1
           0.40          0.33   U975/A2
           0.39          0.21   U975/A3
           0.21          0.39   U975/ZN
           0.35          0.37   U980/A1
           0.35          0.37   U980/A2
           0.35          0.37   U980/ZN
           0.26          0.18   U983/A1
           0.26          0.17   U983/A2
           0.17          0.26   U983/ZN
           0.33          0.35   U984/A1
           0.31          0.33   U984/A2
           0.31          0.33   U984/ZN
              *             *   U997/A1
              *             *   U997/A2
              *             *   U997/ZN
           0.16          0.15   U1001/A1
           0.12          0.23   U1001/A2
           0.15          0.12   U1001/ZN
           0.72          0.58   U1008/A1
           0.72          0.55   U1008/A2
           0.69          0.52   U1008/A3
           0.69          0.51   U1008/A4
           0.51          0.69   U1008/ZN
           0.53          0.60   U1014/A1
           0.53          0.59   U1014/A2
           0.59          0.53   U1014/ZN
              *             *   U1015/A
              *             *   U1015/ZN
           0.63          0.59   U1016/A1
           0.64          0.59   U1016/A2
           0.59          0.63   U1016/ZN
           0.62          0.45   U1020/A1
           0.63          0.45   U1020/A2
           0.45          0.62   U1020/ZN
           0.58          0.53   U1023/A1
           0.59          0.40   U1023/A2
           0.55          0.48   U1023/A3
           0.40          0.55   U1023/ZN
           0.48          0.42   U1024/A1
           0.45          0.51   U1024/A2
           0.42          0.45   U1024/ZN
           0.30          0.38   U1030/A1
           0.29          0.37   U1030/A2
           0.27          0.35   U1030/A3
           0.35          0.27   U1030/ZN
           0.15          0.07   U1033/A1
           0.18          0.07   U1033/A2
           0.16          0.05   U1033/A3
           0.05          0.15   U1033/ZN
           0.11          0.02   U1040/A1
           0.16          0.05   U1040/A2
           0.02          0.11   U1040/ZN
           0.16          0.17   U1041/A1
           0.15          0.05   U1041/A2
           0.05          0.15   U1041/ZN
          -0.06         -0.08   U1045/A1
          -0.05         -0.20   U1045/A2
          -0.20         -0.06   U1045/ZN
          -0.02         -0.14   U1046/A1
          -0.08         -0.06   U1046/A2
          -0.14         -0.08   U1046/ZN
           0.09         -0.01   U1050/B1
           0.11         -0.01   U1050/B2
           0.10          0.08   U1050/A
          -0.01          0.09   U1050/ZN
           0.20          0.21   U1053/A1
           0.26          0.11   U1053/A2
           0.24          0.09   U1053/A3
           0.09          0.20   U1053/ZN
           0.23          0.09   U1055/A1
           0.25          0.10   U1055/A2
           0.09          0.23   U1055/ZN
           0.42          0.33   U1057/A1
           0.43          0.21   U1057/A2
           0.21          0.42   U1057/ZN
           0.15          0.20   U1058/A1
           0.20          0.22   U1058/A2
           0.20          0.15   U1058/ZN
          -0.02         -0.15   U1061/A1
          -0.07         -0.07   U1061/A2
          -0.15         -0.07   U1061/ZN
           0.39          0.45   U1065/A1
           0.36          0.42   U1065/A2
           0.42          0.36   U1065/ZN
           0.60          0.47   U1067/A1
           0.61          0.46   U1067/A2
           0.61          0.46   U1067/A3
           0.46          0.60   U1067/ZN
          -0.01         -0.01   U1072/A1
           0.03         -0.12   U1072/A2
          -0.12         -0.01   U1072/ZN
           0.31          0.38   U1075/A
           0.35          0.27   U1075/B
           0.27          0.29   U1075/ZN
           0.32          0.38   U1076/A
           0.36          0.28   U1076/B
           0.28          0.31   U1076/ZN
           0.33          0.39   U1078/A
           0.33          0.38   U1078/B
           0.33          0.39   U1078/ZN
           0.36          0.29   U1079/A
           0.35          0.28   U1079/B
           0.28          0.32   U1079/ZN
              *             *   U1080/A
              *             *   U1080/ZN
              *             *   n3147gat
              *             *   n3149gat
              *             *   U549/A
              *             *   U549/ZN
              *             *   U550/A
              *             *   U550/ZN
              *             *   U556/A1
           0.54          0.57   U556/A2
              *             *   U556/A3
           0.57          0.54   U556/ZN
           0.65          0.55   U566/A
           0.51          0.54   U566/B
           0.51          0.52   U566/Z
              *             *   U571/A1
              *             *   U571/A2
              *             *   U571/A3
              *             *   U571/ZN
              *             *   U580/A1
              *             *   U580/A2
              *             *   U580/A3
              *             *   U580/ZN
           0.56          0.67   U590/A1
           0.56          0.67   U590/A2
           0.67          0.56   U590/ZN
           0.63          0.60   U594/B1
           0.53          0.58   U594/B2
           0.63          0.58   U594/A
           0.58          0.53   U594/ZN
              *             *   U629/A
              *             *   U629/ZN
              *             *   U630/A
              *             *   U630/ZN
              *             *   U646/A
              *             *   U646/ZN
